# Decupagem do video de boas-vindas — um trecho por linha, na ordem do filme.
# bloco <TAB> fonte <TAB> inicio <TAB> duracao <TAB> corte <TAB> o que mostra
#
# corte: "tela" = tira a moldura do navegador (padrao do sistema)
#        "pdf"  = recorta so a pagina do dossie dentro do visualizador do Chrome,
#                 que e navy (1,11,31) — quase o mesmo #010c20 do fundo, entao a
#                 pagina flutua sem moldura nenhuma
#
# Os segundos saem da decupagem de 22/09/2026, que leu as gravacoes quadro a
# quadro. Trecho com tela parada, carregando, vazia ou com barco "(TESTE)" a
# mostra ficou de fora; onde sobrou pouco material, o montador estica o que ha
# ate o tempo da narracao (fica levemente mais lento, o que ajuda a ler tela).
#
0-abertura	B	0.2	4.0	tela	home da Oficial: "Sua Marina cuida de milhoes em ativos"
0-abertura	G	0.5	7.0	tela	Painel de Controle: Marina Axos Hub / Fleet Excellence
0-abertura	F	2.5	5.0	tela	cursor percorrendo a barra lateral, etiquetas douradas
#
1-painel-tecnico	F	3.2	6.3	tela	painel cheio: total de ativos, dossies gerados
1-painel-tecnico	G	8.0	10.0	tela	rolagem lenta pela lista de dossies emitidos
1-painel-tecnico	A	5.0	5.0	tela	Painel de Controle descendo, dossies emitidos
1-painel-tecnico	A	28.0	3.0	tela	grade de categorias do ativo com as contagens
1-painel-tecnico	A	34.0	2.0	tela	cursor percorrendo as categorias
1-painel-tecnico	G	37.5	4.5	tela	menu lateral abrindo as secoes do sistema
#
2-pre-data	C	13.4	5.0	tela	painel gera o codigo do aparelho de campo
2-pre-data	D	11.0	3.2	tela	aparelho de campo: "Qual ativo?" com a frota
2-pre-data	D	14.2	4.0	tela	cursor atravessa a lista de barcos
2-pre-data	D	18.8	2.1	tela	ficha do Julian 360 no aparelho de campo
2-pre-data	D	22.4	1.9	tela	ficha do Fenix Blue com as 13 categorias
2-pre-data	D	26.1	3.6	tela	ficha do Aurora Austral, grade completa
2-pre-data	A	265.0	6.0	tela	de volta ao painel: a fila do Pre-Data
#
3-portal-do-proprietario	E	40.4	3.1	tela	"Seu Ativo. Tudo o que foi feito nele."
3-portal-do-proprietario	B	46.3	3.7	tela	Portal aberto, seletor da frota do dono
3-portal-do-proprietario	B	52.4	4.4	tela	a capa do Fenix Blue sobe e entra o Painel Tecnico
3-portal-do-proprietario	E	58.8	2.5	tela	Manutencao: 4 registros com tecnico, horas e valor
3-portal-do-proprietario	B	62.9	2.8	tela	Seguro: apolice 2026/2027 com cobertura e franquia
3-portal-do-proprietario	B	67.5	2.2	tela	Manutencao aberta: 3 servicos completos
3-portal-do-proprietario	B	71.6	4.1	tela	grade das categorias com as contagens reais
3-portal-do-proprietario	B	75.7	2.0	tela	Eletrica: VHF/DSC, EPIRB e banco de baterias
3-portal-do-proprietario	B	86.6	2.4	tela	Seguranca: vistoria anual NORMAM-01
#
4-dossie-atlas	G	61.4	4.6	tela	Cofre Digital do Fenix Blue: conteudo do Dossie
4-dossie-atlas	A	65.0	11.0	tela	lista de documentos com selo VERIFICADO e data
4-dossie-atlas	F	58.5	6.5	pdf	dossie: documentos e historico de manutencao
4-dossie-atlas	F	65.0	17.0	pdf	dossie: casco, drenagem, eletrica, seguranca
4-dossie-atlas	F	84.0	9.5	pdf	Registro Fotografico Certificado, com as fotos
4-dossie-atlas	F	96.0	6.0	pdf	Linha do Tempo da Custodia, evento a evento
4-dossie-atlas	F	108.0	3.0	pdf	Verificacao de Autenticidade: o QR do documento
#
5-fecho	A	5.0	5.0	tela	painel da Marina, dossies emitidos
5-fecho	B	52.4	4.4	tela	o Portal do dono, com o barco na capa
5-fecho	G	8.0	6.0	tela	a lista crescendo: o acervo da Marina
