0.000	1.340	Olá, tudo bem?
1.680	3.960	Eu sou o Marcos, da Yachts Atlas!
4.520	7.320	Sua Marina cuida de Ativos que valem milhões.
7.840	9.800	Cada um com a sua história, certo?
10.420	17.300	E eu queria começar com uma pergunta simples: hoje, onde é que essa história fica registrada?
17.780	23.280	Se um cliente te pedir agora o histórico completo de manutenção de três anos atrás…
23.680	26.120	você consegue entregar em cinco minutos?
26.580	29.020	É pra isso que existe o Programa Atlas.
29.380	37.040	A ideia é fácil: tudo o que acontece com cada barco da sua Marina passa a ficar registrado num lugar só.
37.380	40.780	A manutenção que foi feita. O documento que chegou.
41.240	45.140	A foto do serviço. A data… e quem fez!
45.620	49.720	Aí, quando o dono do barco pergunta o que foi feito, está tudo ali.
49.720	52.660	Na tela. No nome da sua Marina.
52.980	55.240	E o dono do barco também ganha acesso.
57.180	62.000	De casa, do escritório, de onde ele estiver, ele abre e vê o barco dele:
62.260	66.120	as fotos, os documentos, tudo o que já foi feito.
66.300	69.540	E vê o trabalho da sua Marina ali… todo dia!
69.540	74.940	E de tempos em tempos, tudo isso vira um documento: o Dossiê Atlas.
75.240	77.700	Ele conta a vida do barco do começo ao fim.
77.707	83.080	A ficha dele, tudo o que já foi feito, os documentos, as fotos.
83.340	87.820	É o documento que ajuda o dono na hora do seguro, na hora da vistoria…
87.820	90.640	e, principalmente, na hora de vender.
90.880	93.800	E tem uma parte que eu faço questão de te contar.
94.100	96.980	Nada disso fica solto numa pasta de computador.
97.220	101.420	Cada arquivo que entra recebe uma espécie de impressão digital,
101.800	105.490	um código único chamado SHA-256.
107.420	110.280	É o mesmo tipo de proteção que os bancos usam.
110.500	113.900	E depois que o registro é fechado, ninguém mais muda.
114.160	116.040	Ninguém apaga. Nem eu.
116.160	121.640	E quem recebe esse documento… o comprador, o corretor, a seguradora…
121.980	125.620	pode conferir na nossa página se ele é mesmo verdadeiro.
125.960	129.200	Sem ver nada lá de dentro: só a confirmação.
129.580	133.760	Se alguém tentar mexer em uma vírgula, o sistema mostra na hora.
134.020	138.620	No fim das contas é isso: a sua Marina passa a ter, preto no branco,
138.620	141.140	tudo o que ela já fez por cada barco.
141.460	145.220	Isso traz tranquilidade pro dono… e aproxima ele de você.
145.520	146.820	Uma última coisa!
147.100	157.852	O Programa Atlas vai abrir para vinte Marinas no Brasil inteiro.
160.524	163.796	Só vinte!
166.468	171.020	Continue aqui embaixo com calma.
171.160	174.980	As condições exclusivas estão todas nesta mesma página…
175.320	178.540	e se fizer sentido pra você, é só me chamar!
